osd_id,sample_id
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep1_M4
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep2_M5
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep3_M7
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep4_M8
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep5_M10
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep1_M16
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep2_M17
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep3_M18
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep4_M19
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep5_M20
OSD-48,Mmus_C57-6J_LVR_FLT_I_Rep1_M21
OSD-48,Mmus_C57-6J_LVR_FLT_I_Rep2_M22
OSD-48,Mmus_C57-6J_LVR_FLT_C_Rep1_M25
OSD-48,Mmus_C57-6J_LVR_FLT_C_Rep2_M26
OSD-48,Mmus_C57-6J_LVR_FLT_C_Rep3_M27
OSD-48,Mmus_C57-6J_LVR_FLT_C_Rep4_M28
OSD-48,Mmus_C57-6J_LVR_FLT_C_Rep6_M29
OSD-48,Mmus_C57-6J_LVR_FLT_C_Rep5_M30
OSD-48,Mmus_C57-6J_LVR_GC_I_Rep1_M31
OSD-48,Mmus_C57-6J_LVR_GC_I_Rep2_M32
OSD-48,Mmus_C57-6J_LVR_GC_C_Rep6_M35
OSD-48,Mmus_C57-6J_LVR_GC_C_Rep1_M36
OSD-48,Mmus_C57-6J_LVR_GC_C_Rep2_M37
OSD-48,Mmus_C57-6J_LVR_GC_C_Rep3_M38
OSD-48,Mmus_C57-6J_LVR_GC_C_Rep4_M39
OSD-48,Mmus_C57-6J_LVR_GC_C_Rep5_M40
OSD-48,RR1_GC_NASA+CASIS_LVR_POOL
OSD-48,RR1_GC_NASA_LVR_POOL
OSD-48,RR1_BA_CASIS_LVR_POOL
OSD-48,RR1_FLT_NASA+CASIS_LVR_POOL
OSD-48,RR1_FLT_NASA_LVR_POOL
OSD-48,RR1_BSL_VIV_NASA_LVR_POOL
OSD-100,Mmus_C57-6J_EYE_GC_Rep1_M33
OSD-100,Mmus_C57-6J_EYE_GC_Rep2_M34
OSD-100,Mmus_C57-6J_EYE_GC_Rep3_M35
OSD-100,Mmus_C57-6J_EYE_GC_Rep4_M36
OSD-100,Mmus_C57-6J_EYE_GC_Rep5_M37
OSD-100,Mmus_C57-6J_EYE_GC_Rep6_M38
OSD-100,Mmus_C57-6J_EYE_FLT_Rep1_M23
OSD-100,Mmus_C57-6J_EYE_FLT_Rep2_M24
OSD-100,Mmus_C57-6J_EYE_FLT_Rep3_M25
OSD-100,Mmus_C57-6J_EYE_FLT_Rep4_M26
OSD-100,Mmus_C57-6J_EYE_FLT_Rep5_M27
OSD-100,Mmus_C57-6J_EYE_FLT_Rep6_M28
OSD-101,Mmus_C57-6J_GST_GC_Rep1_M33
OSD-101,Mmus_C57-6J_GST_GC_Rep2_M34
OSD-101,Mmus_C57-6J_GST_GC_Rep3_M35
OSD-101,Mmus_C57-6J_GST_GC_Rep4_M36
OSD-101,Mmus_C57-6J_GST_GC_Rep5_M37
OSD-101,Mmus_C57-6J_GST_GC_Rep6_M38
OSD-101,Mmus_C57-6J_GST_FLT_Rep1_M23
OSD-101,Mmus_C57-6J_GST_FLT_Rep2_M24
OSD-101,Mmus_C57-6J_GST_FLT_Rep3_M25
OSD-101,Mmus_C57-6J_GST_FLT_Rep4_M26
OSD-101,Mmus_C57-6J_GST_FLT_Rep5_M27
OSD-101,Mmus_C57-6J_GST_FLT_Rep6_M28
OSD-101,Pool of all FLT samples
OSD-101,Pool of all GC samples
OSD-101,Pool of all FLT and GC samples
OSD-101,Empty Pool
OSD-102,Mmus_C57-6J_KDN_FLT_Rep1_M23
OSD-102,Mmus_C57-6J_KDN_FLT_Rep2_M24
OSD-102,Mmus_C57-6J_KDN_FLT_Rep3_M25
OSD-102,Mmus_C57-6J_KDN_FLT_Rep4_M26
OSD-102,Mmus_C57-6J_KDN_FLT_Rep5_M27
OSD-102,Mmus_C57-6J_KDN_FLT_Rep6_M28
OSD-102,Mmus_C57-6J_KDN_GC_Rep1_M33
OSD-102,Mmus_C57-6J_KDN_GC_Rep2_M34
OSD-102,Mmus_C57-6J_KDN_GC_Rep3_M35
OSD-102,Mmus_C57-6J_KDN_GC_Rep4_M36
OSD-102,Mmus_C57-6J_KDN_GC_Rep5_M37
OSD-102,Mmus_C57-6J_KDN_GC_Rep6_M38
OSD-102,Pool of all FLT samples
OSD-102,Pool of all GC samples
OSD-102,Pool of all FLT and GC samples
OSD-102,Empty Pool
OSD-103,Mmus_C57-6J_Quad_FLT_Rep1_M23
OSD-103,Mmus_C57-6J_Quad_FLT_Rep2_M24
OSD-103,Mmus_C57-6J_Quad_FLT_Rep3_M25
OSD-103,Mmus_C57-6J_Quad_FLT_Rep4_M26
OSD-103,Mmus_C57-6J_Quad_FLT_Rep5_M27
OSD-103,Mmus_C57-6J_Quad_FLT_Rep6_M28
OSD-103,Mmus_C57-6J_Quad_GC_Rep1_M33
OSD-103,Mmus_C57-6J_Quad_GC_Rep2_M34
OSD-103,Mmus_C57-6J_Quad_GC_Rep3_M35
OSD-103,Mmus_C57-6J_Quad_GC_Rep4_M36
OSD-103,Mmus_C57-6J_Quad_GC_Rep5_M37
OSD-103,Mmus_C57-6J_Quad_GC_Rep6_M38
OSD-103,Pool of all FLT samples
OSD-103,Pool of all GC samples
OSD-103,Pool of all FLT and GC samples
OSD-103,Empty Pool
OSD-104,Mmus_C57-6J_SLS_GC_Rep1_M33
OSD-104,Mmus_C57-6J_SLS_GC_Rep2_M34
OSD-104,Mmus_C57-6J_SLS_GC_Rep3_M35
OSD-104,Mmus_C57-6J_SLS_GC_Rep4_M36
OSD-104,Mmus_C57-6J_SLS_GC_Rep5_M37
OSD-104,Mmus_C57-6J_SLS_GC_Rep6_M38
OSD-104,Mmus_C57-6J_SLS_FLT_Rep1_M23
OSD-104,Mmus_C57-6J_SLS_FLT_Rep2_M24
OSD-104,Mmus_C57-6J_SLS_FLT_Rep3_M25
OSD-104,Mmus_C57-6J_SLS_FLT_Rep4_M26
OSD-104,Mmus_C57-6J_SLS_FLT_Rep5_M27
OSD-104,Mmus_C57-6J_SLS_FLT_Rep6_M28
OSD-105,Mmus_C57-6J_TA_GC_Rep1_M33
OSD-105,Mmus_C57-6J_TA_GC_Rep2_M34
OSD-105,Mmus_C57-6J_TA_GC_Rep3_M35
OSD-105,Mmus_C57-6J_TA_GC_Rep4_M36
OSD-105,Mmus_C57-6J_TA_GC_Rep5_M37
OSD-105,Mmus_C57-6J_TA_GC_Rep6_M38
OSD-105,Mmus_C57-6J_TA_FLT_Rep1_M23
OSD-105,Mmus_C57-6J_TA_FLT_Rep2_M24
OSD-105,Mmus_C57-6J_TA_FLT_Rep3_M25
OSD-105,Mmus_C57-6J_TA_FLT_Rep4_M26
OSD-105,Mmus_C57-6J_TA_FLT_Rep5_M27
OSD-105,Mmus_C57-6J_TA_FLT_Rep6_M28
OSD-105,Pool of all FLT samples
OSD-105,Pool of all GC samples
OSD-105,Pool of all FLT and GC samples
OSD-105,Empty Pool
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep4_M8
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep5_M10
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep1_M16
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep2_M17
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep3_M18
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep4_M19
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep5_M20
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep1_M16
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep2_M17
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep3_M18
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep4_M19
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep5_M20
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep1_M36
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep2_M37
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep3_M38
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep4_M39
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep5_M40
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep1_M25
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep2_M26
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep3_M28
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep4_M29
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep5_M30
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4
OSD-488,GC11_sol
OSD-488,GC12_sol
OSD-488,GC13_sol
OSD-488,GC14_sol
OSD-488,GC15_sol
OSD-488,GC16_sol
OSD-488,GC17_sol
OSD-488,GC18_sol
OSD-488,GC19_sol
OSD-488,GC20_sol
OSD-488,Viv11_sol
OSD-488,Viv12_sol
OSD-488,Viv13_sol
OSD-488,Viv14_sol
OSD-488,Viv15_sol
OSD-488,Viv16_sol
OSD-488,Viv17_sol
OSD-488,Viv18_sol
OSD-488,Viv19_sol
OSD-488,Viv20_sol
OSD-488,F11_sol
OSD-488,F12_sol
OSD-488,F13_sol
OSD-488,F14_sol
OSD-488,F15_sol
OSD-488,F16_sol
OSD-488,F17_sol
OSD-488,F18_sol
OSD-488,F19_sol
OSD-488,F20_sol
OSD-488,M11_sol
OSD-488,M12_sol
OSD-488,M13_sol
OSD-488,M14_sol
OSD-488,M31_sol
OSD-488,M32_sol
OSD-488,M39_sol
OSD-488,M40_sol
OSD-488,M21_sol
OSD-488,M22_sol
OSD-488,M29_sol
OSD-488,M30_sol
OSD-488,GC11_ta
OSD-488,GC12_ta
OSD-488,GC13_ta
OSD-488,GC14_ta
OSD-488,GC15_ta
OSD-488,GC16_ta
OSD-488,GC17_ta
OSD-488,GC18_ta
OSD-488,GC19_ta
OSD-488,GC20_ta
OSD-488,Viv11_ta
OSD-488,Viv12_ta
OSD-488,Viv13_ta
OSD-488,Viv14_ta
OSD-488,Viv15_ta
OSD-488,Viv16_ta
OSD-488,Viv17_ta
OSD-488,Viv18_ta
OSD-488,Viv19_ta
OSD-488,Viv20_ta
OSD-488,F11_ta
OSD-488,F12_ta
OSD-488,F13_ta
OSD-488,F14_ta
OSD-488,F15_ta
OSD-488,F16_ta
OSD-488,F17_ta
OSD-488,F18_ta
OSD-488,F19_ta
OSD-488,F20_ta
OSD-488,FViv11_sol
OSD-488,FViv12_sol
OSD-488,FViv13_sol
OSD-488,FViv14_sol
OSD-488,FViv15_sol
OSD-488,FViv16_sol
OSD-488,CC13_sol
OSD-488,CC14_sol
OSD-488,CC15_sol
OSD-488,CC17_sol
OSD-488,CC18_sol
OSD-488,CC19_sol
OSD-488,FViv12_ta
OSD-488,FViv13_ta
OSD-488,FViv14_ta
OSD-488,FViv15_ta
OSD-488,CC11_ta
OSD-488,CC12_ta
OSD-488,CC13_ta
OSD-488,CC15_ta
OSD-488,CC16_ta
OSD-489,B1_m1_L4
OSD-489,B2_m2_L4
OSD-489,B3_m3_L4
OSD-489,B4_m4_L4
OSD-489,B5_m5_L4
OSD-489,B6_m6_L4
OSD-489,B7_m7_L4
OSD-489,B8_m8_L4
OSD-489,B9_m9_L4
OSD-489,B10_m10_L4
OSD-489,VIV1_m11_L4
OSD-489,VIV2_m12_L4
OSD-489,VIV3_m13_L4
OSD-489,VIV4_m14_L4
OSD-489,VIV5_m15_L4
OSD-489,VIV6_m16_L4
OSD-489,VIV7_m17_L4
OSD-489,VIV8_m18_L4
OSD-489,VIV9_m19_L4
OSD-489,VIV10_m20_L4
OSD-489,FLT1_m21_L4
OSD-489,FLT2_m22_L4
OSD-489,FLT3_m23_L4
OSD-489,FLT5_m25_L4
OSD-489,FLT6_m26_L4
OSD-489,FLT7_m27_L4
OSD-489,FLT9_m29_L4
OSD-489,FLT10_m30_L4
OSD-489,GC1_m31_L4
OSD-489,GC2_m32_L4
OSD-489,GC3_m33_L4
OSD-489,GC5_m35_L4
OSD-489,GC6_m36_L4
OSD-489,GC7_m37_L4
OSD-489,GC8_m38_L4
OSD-489,GC9_m39_L4
OSD-489,GC10_m40_L4
